01. [60187b50-afa0-479a-9f6b-81685a304eb2] PERSONNEL | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p24 | CATEGORY_REVIEW | .- El participante deberá acreditar contar con el suficiente personal profesional y técnico especialista altamente capacitado, experimentado y calificado para proporcionar adecuada y oportunamente el servicio necesario requerido: personal técnico responsable de ejecutar la rehabilitación de los sistemas |
02. [26241834-473d-43b6-af5c-ae31ece01f34] ADMINISTRATIVE | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p7 | CATEGORY_SUPPORTED | Al ingresar a la liga que se le hará llegar mediante la Comunicación de Incorporación, deberá manifestar su voluntad al seleccionar la opción “Acuerdo de Participante”, lo que permitirá al INTERESADO reconocer como propia y auténtica la información y documentación que envíe a través de SISCEP, por lo que la información y documentación relacionada con los actos del PROCEDIMIENTO DE CONTRATACIÓN registrados en el SISCEP se considerarán como originales.
03. [6586607c-4ccb-4fac-becd-8bf95caf8d04] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p19 | CATEGORY_REVIEW | ANEXAR LA CAPTURA DE PANTALLA DEL CERTIFICADO DEL REPRESENTANTE LEGAL/PERSONA FÍSICA QUIEN FIRMARÍA EL CONTRATO CORRESPONDIENTE, COMO SE MUESTRA A CONTINUACIÓN (se puede obtener al dar clic en el certificado .cer de su e.firma y posterior dar clic en abrir o solicitar al SAT).
04. [db5d2435-8f18-4de3-b3e2-aa11e2cc8fc0] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_REVIEW | Cada integrante de la propuesta conjunta presentará su constancia de situación fiscal y de seguridad social actualizada.
05. [0491b265-3e19-44f4-a3ca-8694fb5eec12] COMMERCIAL | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p19 | CATEGORY_SUPPORTED | Como parte de la Propuesta Económica a la baja, el PARTICIPANTE deberá manifestar que la misma no implica modificación alguna en la parte comercial y técnica, conservándose los mismos términos y condiciones de su PROPUESTA original.
06. [4fad14d5-88ee-4ed0-8efe-7f5e332f9aba] EXPERIENCE | sources=1 | status=NORMALIZED | 2.1. ANEXOS - CAD-265-2026.pdf p24 | CATEGORY_SUPPORTED | como parte de su propuesta lécnica, deberá presentar la | | documentación que acredite la experiencia de personal | asignado a la ejecución de los servicios, mediante constancias | de experiencia (expedidas por el participante u otra empresa), | cartas laborales u otros documentos equivalentes que | demuestren su participación en al menos 2 (dos) servicios en el mantenimiento a estos sistemas de control distribuido (SCD) de la famila (Centum VP) ylo Sistemas Instrumentados de Seguridad (SIS, ESD, F&G, BMS) de la familia Prosafe RS, de | no más de 5 años ala fecha .
07. [faced1dd-dc71-4676-bd01-292134c68420] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_REVIEW | Deberán celebrar entre todas las personas que integran el consorcio, un convenio privado de participación
08. [b249a8eb-b70b-4948-896b-f6046187e5ac] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2.1. ANEXOS - CAD-265-2026.pdf p19 | CATEGORY_SUPPORTED | DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA PARTICIPEN, DEBERÁN PRESENTAR EL PRESENTE DOCUMENTO COMO PARTE DE LA PROPUESTA.
09. [27cba6c1-38cb-4657-85cd-4f42d5e70a82] TECHNICAL | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_SUPPORTED | dicha documentación deberá integrarse como parte de la Propuesta, en el caso de no haberse entregado previo a la Presentación y Apertura de Propuestas Comercial, Técnica y Económica.
10. [b264a4d4-a06b-4f7d-8544-e20c0673fe43] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_SUPPORTED | documentación indicada en la SECCIÓN VIII.1, deberá integrarse como parte de la Propuesta.
11. [ef6f3fb5-db9a-4207-90d4-bab45c9c3f11] REGISTRATION | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p6 | CATEGORY_SUPPORTED | El INTERESADO en participar en el presente procedimiento electrónico, deberá contar con el Certificado de Registro en la HIIP vigente durante todo el PROCEDIMIENTO DE CONTRATACIÓN y hasta la formalización del contrato.
12. [04a59481-458f-4528-aebf-78db23d5e7de] PERSONNEL | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p24 | CATEGORY_REVIEW | El participante deberá de incluir Curriculum Vitae, copia simple de titulo y cédula profesional del personal clave identificandolos | profesionales técnicos a servicio del PARTICIPANTE, que | | serán responsables de la dirección y superisién de los | servicios con caracteristicas técnicas y magnitud similares, |
